Id	Prefecture	Category	Name	Address	Latitude	Longitude	ShopGroup	FullAddress
1523	北海道	イトーヨーカドー	イトーヨーカドー帯広	帯広市稲田町南8線西10-1	42.890214	143.198267	1	北海道帯広市稲田町南8線西10-1
1447	北海道	その他	西條百貨店稚内	稚内市大黒4-7-1	45.397532	141.692138	1	北海道稚内市大黒4-7-1
1380	北海道	ヨドバシカメラ	ヨドバシカメラマルチメディア札幌	札幌市北区北6条西5-1-22	43.068294	141.347586	1	北海道札幌市北区北6条西5-1-22
1343	北海道	モーリーファンタジー・PALO	モーリーファンタジー名寄	名寄市字徳田80-1 ｲｵﾝ名寄店2階	44.338431	142.452592	1	北海道名寄市字徳田80-1 ｲｵﾝ名寄店2階
1283	北海道	モーリーファンタジー・PALO	モーリーファンタジー苫小牧	苫小牧市柳町3-1-20 ｲｵﾝ苫小牧店2階	42.656405	141.642478	1	北海道苫小牧市柳町3-1-20 ｲｵﾝ苫小牧店2階
1279	北海道	モーリーファンタジー・PALO	モーリーファンタジー湯川	函館市湯川町3-14-5 ｲｵﾝ湯川店1･2F	41.777669	140.794059	1	北海道函館市湯川町3-14-5 ｲｵﾝ湯川店1･2F
1276	北海道	モーリーファンタジー・PALO	モーリーファンタジー東札幌	札幌市白石区東札幌3条2-1 ｲｵﾝ東札幌店2F	43.052227	141.385402	1	北海道札幌市白石区東札幌3条2-1 ｲｵﾝ東札幌店2F
1264	北海道	モーリーファンタジー・PALO	モーリーファンタジー登別	登別市若山町4-33-1 ｲｵﾝ登別店2階	42.381349	141.068467	1	北海道登別市若山町4-33-1 ｲｵﾝ登別店2階
1239	北海道	モーリーファンタジー・PALO	モーリーファンタジー中標津	標津郡中標津町南町3-10 東武ｻｳｽﾋﾙｽﾞ1F	43.535427	144.977231	1	北海道標津郡中標津町南町3-10 東武ｻｳｽﾋﾙｽﾞ1F
1197	北海道	モーリーファンタジー・PALO	モーリーファンタジー石狩緑苑台	石狩市緑苑台中央1-2 ｲｵﾝSC石狩緑苑台店1階	43.159047	141.334938	1	北海道石狩市緑苑台中央1-2 ｲｵﾝSC石狩緑苑台店1階
